"manager_id","manager_name","email","practice_id","created_at","updated_at"
1,Amit Sharma,dmstestuser007+amitsharma.manager001@gmail.com,1,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
2,Priya Verma,dmstestuser007+priyaverma.manager002@gmail.com,1,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
3,Rohit Mehta,dmstestuser007+rohitmehta.manager003@gmail.com,1,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
4,Sneha Kapoor,dmstestuser007+snehakapoor.manager004@gmail.com,1,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
5,Vikram Rao,dmstestuser007+vikramrao.manager005@gmail.com,1,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
6,Ankit Singh,dmstestuser007+ankitsingh.manager006@gmail.com,2,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
7,Neha Das,dmstestuser007+nehadas.manager007@gmail.com,2,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
8,Karan Patel,dmstestuser007+karanpatel.manager008@gmail.com,2,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
9,Meera Joshi,dmstestuser007+meerajoshi.manager009@gmail.com,2,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
10,Saurabh Nair,dmstestuser007+saurabhnair.manager010@gmail.com,2,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
11,Deepak Kumar,dmstestuser007+deepakkumar.manager011@gmail.com,3,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
12,Riya Sen,dmstestuser007+riyasen.manager012@gmail.com,3,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
13,Arjun Malhotra,dmstestuser007+arjunmalhotra.manager013@gmail.com,3,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
14,Pooja Roy,dmstestuser007+poojaroy.manager014@gmail.com,3,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
15,Nikhil Bhat,dmstestuser007+nikhilbhat.manager015@gmail.com,3,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
16,Sameer Khan,dmstestuser007+sameerkhan.manager016@gmail.com,4,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
17,Anushka Reddy,dmstestuser007+anushkareddy.manager017@gmail.com,4,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
18,Harsh Vora,dmstestuser007+harshvora.manager018@gmail.com,4,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
19,Tina Paul,dmstestuser007+tinapaul.manager019@gmail.com,4,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
20,Rajat Kulkarni,dmstestuser007+rajatkulkarni.manager020@gmail.com,4,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
21,Gaurav Sharma,dmstestuser007+gauravsharma.manager021@gmail.com,5,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
22,Sweta Mishra,dmstestuser007+swetamishra.manager022@gmail.com,5,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
23,Yash Jain,dmstestuser007+yashjain.manager023@gmail.com,5,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
24,Komal Gupta,dmstestuser007+komalgupta.manager024@gmail.com,5,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
25,Aditya Bose,dmstestuser007+adityabose.manager025@gmail.com,5,2026-01-05 12:59:20.856,2026-01-05 12:59:20.856
